scenario_id,node,method,rank,score
auto_001,22,af3_normalized,84.5,0.2
auto_001,23,af3_normalized,73.5,0.3076923076923077
auto_001,24,af3_normalized,1.5,0.7857142857142857
auto_001,25,af3_normalized,15.0,0.5384615384615384
auto_001,26,af3_normalized,52.0,0.4
auto_001,27,af3_normalized,97.0,0.0625
auto_001,28,af3_normalized,7.5,0.6470588235294118
auto_001,29,af3_normalized,26.0,0.47058823529411764
auto_001,30,af3_normalized,67.0,0.35714285714285715
auto_001,31,af3_normalized,52.0,0.4
auto_001,32,af3_normalized,52.0,0.4
auto_001,33,af3_normalized,52.0,0.4
auto_001,34,af3_normalized,75.5,0.29411764705882354
auto_001,35,af3_normalized,26.0,0.47058823529411764
auto_001,36,af3_normalized,52.0,0.4
auto_001,37,af3_normalized,52.0,0.4
auto_001,38,af3_normalized,52.0,0.4
auto_001,39,af3_normalized,26.0,0.47058823529411764
auto_001,40,af3_normalized,99.5,-0.0
auto_001,41,af3_normalized,3.0,0.7
auto_001,42,af3_normalized,52.0,0.4
auto_001,43,af3_normalized,10.0,0.625
auto_001,44,af3_normalized,7.5,0.6470588235294118
auto_001,45,af3_normalized,67.0,0.35714285714285715
auto_001,46,af3_normalized,30.0,0.45454545454545453
auto_001,47,af3_normalized,93.0,0.11764705882352941
auto_001,48,af3_normalized,7.5,0.6470588235294118
auto_001,49,af3_normalized,71.0,0.3333333333333333
auto_001,50,af3_normalized,89.5,0.1724137931034483
auto_001,51,af3_normalized,30.0,0.45454545454545453
auto_001,52,af3_normalized,12.0,0.5714285714285714
auto_001,53,af3_normalized,79.5,0.25
auto_001,54,af3_normalized,36.0,0.4375
auto_001,55,af3_normalized,41.5,0.4230769230769231
auto_001,56,af3_normalized,41.5,0.4230769230769231
auto_001,57,af3_normalized,32.5,0.4444444444444444
auto_001,58,af3_normalized,89.5,0.1724137931034483
auto_001,59,af3_normalized,18.0,0.5
auto_001,60,af3_normalized,94.0,0.1111111111111111
auto_001,61,af3_normalized,91.5,0.14285714285714285
auto_001,62,af3_normalized,62.5,0.3793103448275862
auto_001,63,af3_normalized,21.5,0.4782608695652174
auto_001,64,af3_normalized,84.5,0.2
auto_001,65,af3_normalized,52.0,0.4
auto_001,66,af3_normalized,30.0,0.45454545454545453
auto_001,67,af3_normalized,36.0,0.4375
auto_001,68,af3_normalized,79.5,0.25
auto_001,69,af3_normalized,87.0,0.18181818181818182
auto_001,70,af3_normalized,79.5,0.25
auto_001,71,af3_normalized,21.5,0.4782608695652174
auto_001,72,af3_normalized,12.0,0.5714285714285714
auto_001,73,af3_normalized,79.5,0.25
auto_001,74,af3_normalized,32.5,0.4444444444444444
auto_001,75,af3_normalized,4.5,0.6666666666666666
auto_001,76,af3_normalized,71.0,0.3333333333333333
auto_001,77,af3_normalized,36.0,0.4375
auto_001,78,af3_normalized,52.0,0.4
auto_001,79,af3_normalized,52.0,0.4
auto_001,80,af3_normalized,39.5,0.42857142857142855
auto_001,81,af3_normalized,73.5,0.3076923076923077
auto_001,82,af3_normalized,21.5,0.4782608695652174
auto_001,83,af3_normalized,82.5,0.22580645161290322
auto_001,84,af3_normalized,12.0,0.5714285714285714
auto_001,85,af3_normalized,21.5,0.4782608695652174
auto_001,86,af3_normalized,62.5,0.3793103448275862
auto_001,87,af3_normalized,52.0,0.4
auto_001,88,af3_normalized,39.5,0.42857142857142855
