model,model_label,panel,slot,node,node_min_curvature,broadcast_probability
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,95,-9.0,0.12473778742551804
v35_curvature_stage2,Curvature Stage-2,random_slot,246,96,-6.0,0.13191568851470947
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,96,-6.0,0.09102215626090765
v35_curvature_stage2,Curvature Stage-2,random_slot,246,97,-9.0,0.06631729006767273
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,97,-9.0,0.0952391744479537
v35_curvature_stage2,Curvature Stage-2,random_slot,246,98,-5.0,0.07276089489459991
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,98,-5.0,0.08581114654988051
v35_curvature_stage2,Curvature Stage-2,random_slot,246,99,-19.0,0.11338415741920471
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,99,-19.0,0.13031809610128403
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,0,-8.0,0.07247290015220642
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,0,-8.0,0.0987896808385849
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,1,-5.0,0.07133716344833374
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,1,-5.0,0.09899479061365128
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,2,-3.0,0.11178353428840637
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,2,-3.0,0.10318477588891983
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,3,-2.0,0.08808764815330505
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,3,-2.0,0.09983570235967636
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,4,-9.0,0.07143625617027283
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,4,-9.0,0.10028876429796219
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,5,-5.0,0.15021604299545288
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,5,-5.0,0.10296748572587967
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,6,-6.0,0.07161998748779297
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,6,-6.0,0.10103746062517166
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,7,-5.0,0.0889045000076294
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,7,-5.0,0.09964163780212403
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,8,-11.0,0.09049719572067261
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,8,-11.0,0.09576689332723617
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,9,-9.0,0.14303022623062134
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,9,-9.0,0.0975468208193779
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,10,-6.0,0.09054327011108398
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,10,-6.0,0.09722776055335998
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,11,-3.0,0.1380155086517334
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,11,-3.0,0.09915930372476578
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,12,0.0,0.13826116919517517
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,12,0.0,0.10096748858690262
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,13,-7.0,0.1174854040145874
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,13,-7.0,0.09774797922372817
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,14,-5.0,0.1550014615058899
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,14,-5.0,0.09843727016448975
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,15,-2.0,0.08049634099006653
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,15,-2.0,0.10008204400539399
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,16,-5.0,0.07319757342338562
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,16,-5.0,0.09872366261482239
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,17,-18.0,0.073466956615448
